Package                        Version     Location                                                              Installer
------------------------------ ----------- --------------------------------------------------------------------- ---------
absl-py                        1.4.0       /root/miniconda3/lib/python3.10/site-packages                         pip
anyio                          3.6.2       /root/miniconda3/lib/python3.10/site-packages                         pip
argon2-cffi                    21.3.0      /root/miniconda3/lib/python3.10/site-packages                         pip
argon2-cffi-bindings           21.2.0      /root/miniconda3/lib/python3.10/site-packages                         pip
arrow                          1.2.3       /root/miniconda3/lib/python3.10/site-packages                         pip
asttokens                      2.2.1       /root/miniconda3/lib/python3.10/site-packages                         pip
attrs                          22.2.0      /root/miniconda3/lib/python3.10/site-packages                         pip
Babel                          2.11.0      /root/miniconda3/lib/python3.10/site-packages                         pip
backcall                       0.2.0       /root/miniconda3/lib/python3.10/site-packages                         pip
beautifulsoup4                 4.11.1      /root/miniconda3/lib/python3.10/site-packages                         pip
bleach                         6.0.0       /root/miniconda3/lib/python3.10/site-packages                         pip
boltons                        23.0.0      /root/miniconda3/lib/python3.10/site-packages                         conda
brotlipy                       0.7.0       /root/miniconda3/lib/python3.10/site-packages
cachetools                     5.3.0       /root/miniconda3/lib/python3.10/site-packages                         pip
certifi                        2022.12.7   /root/miniconda3/lib/python3.10/site-packages                         conda
cffi                           1.15.1      /root/miniconda3/lib/python3.10/site-packages                         conda
charset-normalizer             2.0.4       /root/miniconda3/lib/python3.10/site-packages                         conda
comm                           0.1.2       /root/miniconda3/lib/python3.10/site-packages                         pip
conda                          23.3.1      /root/miniconda3/lib/python3.10/site-packages
conda-content-trust            0.1.3       /root/miniconda3/lib/python3.10/site-packages                         conda
conda-package-handling         1.9.0       /root/miniconda3/lib/python3.10/site-packages                         conda
contourpy                      1.0.7       /root/miniconda3/lib/python3.10/site-packages                         pip
cryptography                   38.0.1      /root/miniconda3/lib/python3.10/site-packages                         conda
cycler                         0.11.0      /root/miniconda3/lib/python3.10/site-packages                         pip
debugpy                        1.6.6       /root/miniconda3/lib/python3.10/site-packages                         pip
decorator                      5.1.1       /root/miniconda3/lib/python3.10/site-packages                         pip
defusedxml                     0.7.1       /root/miniconda3/lib/python3.10/site-packages                         pip
executing                      1.2.0       /root/miniconda3/lib/python3.10/site-packages                         pip
fastjsonschema                 2.16.2      /root/miniconda3/lib/python3.10/site-packages                         pip
filelock                       3.9.0       /root/miniconda3/lib/python3.10/site-packages                         conda
font-roboto                    0.0.1       /root/miniconda3/lib/python3.10/site-packages                         pip
fonttools                      4.38.0      /root/miniconda3/lib/python3.10/site-packages                         pip
fqdn                           1.5.1       /root/miniconda3/lib/python3.10/site-packages                         pip
gmpy2                          2.1.2       /root/miniconda3/lib/python3.10/site-packages                         conda
google-auth                    2.16.0      /root/miniconda3/lib/python3.10/site-packages                         pip
google-auth-oauthlib           0.4.6       /root/miniconda3/lib/python3.10/site-packages                         pip
grpcio                         1.51.1      /root/miniconda3/lib/python3.10/site-packages                         pip
idna                           3.4         /root/miniconda3/lib/python3.10/site-packages                         conda
ipykernel                      6.20.2      /root/miniconda3/lib/python3.10/site-packages                         pip
ipython                        8.9.0       /root/miniconda3/lib/python3.10/site-packages                         pip
